name;size;diameter;density;averageClustering;averagePathLength;maxDegree
agrell-hvarfor;4;1;1;1;1;3
agrell-en-lektion;2;1;1;0;1;1
agrell-ensam;7;2;0.8571428571428571;0.8857142857142859;1.1428571428571428;6
agrell-ingrid-en-dods-karlekssaga;10;1;1;1;1;9
agrell-en-hufvudsak;4;2;0.8333333333333334;0.8333333333333333;1.1666666666666667;3
agrell-domd;15;2;0.9142857142857143;0.9468420468420469;1.0857142857142856;14
agrell-smastadslif;19;2;0.847953216374269;0.9169096984886459;1.152046783625731;18
wahlenberg-pa-vakt;6;1;1;1;1;5
wahlenberg-tva-valsprak;11;1;1;1;1;10
aurelius-farmors-fodelsedag;5;1;1;1;1;4
barthelson-efterspel;10;3;0.7333333333333333;0.8511904761904763;1.288888888888889;8
benedictsson-romeos-julia;6;1;1;1;1;5
benedictsson-itelefon;8;1;1;1;1;7
benedictsson-final;20;2;0.8842105263157894;0.9582559339525284;1.1157894736842104;19
bremer-konstnarns-fortviflan;2;1;1;0;1;1
geijerstam-lars-anders-och-jan-anders-och-deras-barn;13;2;0.7307692307692307;0.8932067932067932;1.2692307692307692;12
meyerson-ett-pojkstreck;7;1;1;1;1;6
hedberg-rospiggarna;37;3;0.512012012012012;0.8681525051531691;1.5;34
indebetou-idet-grona;11;2;0.9454545454545454;0.9575757575757577;1.0545454545454545;10
indebetou-pa-fotvandring;7;2;0.7142857142857143;0.8428571428571427;1.2857142857142858;6
indebetou-ifruntimmersveckan;6;2;0.8;0.9;1.2;5
kullgren-karlek;8;1;1;1;1;7
kuylenstierna-nar-nyar-kom;9;2;0.8055555555555556;0.8611111111111112;1.1944444444444444;8
kuylenstierna-nu-ar-det-jul-igen;6;1;1;1;1;5
leffler-skadespelerskan;10;1;1;1;1;9
leffler-sanna-kvinnor;7;1;1;1;1;6
leffler-hur-man-gor-godt;41;2;0.5402439024390244;0.9237494664323932;1.4597560975609756;40
leffler-elfvan;14;2;0.9010989010989011;0.9670329670329672;1.098901098901099;13
leffler-familjelycka;9;1;1;1;1;8
leffler-under-toffeln;5;2;0.9;0.9;1.1;4
leffler-den-karleken;6;1;1;1;1;5
leffler-moster-malvina;9;1;1;1;1;8
lindhe-modrar;10;2;0.7777777777777778;0.9123015873015874;1.2222222222222223;9
lundberg-forlat-mig;3;1;1;1;1;2
malling-fru-leonora;10;2;0.7111111111111111;0.8281746031746031;1.288888888888889;9
marholm-otteringning;3;1;1;1;1;2
meyerson-den-nya-klassen;14;1;1;1;1;13
molander-varflod;8;2;0.9642857142857143;0.9642857142857144;1.0357142857142858;7
strindberg-paria;2;1;1;0;1;1
strindberg-anno-fyrtiatta;20;3;0.4;0.7224597624597625;1.5584415584415585;15
strindberg-gillets-hemlighet;17;3;0.4411764705882353;0.8194762753586283;1.7352941176470589;12
strindberg-samum;3;1;1;1;1;2
strindberg-fadren;9;2;0.8055555555555556;0.8904761904761904;1.1944444444444444;8
strindberg-master-olof;35;2;0.5831932773109244;0.8717344662375127;1.4168067226890757;34
strindberg-kamraterna;13;3;0.4230769230769231;0.7533577533577535;1.6794871794871795;9
strindberg-hostslask;8;3;0.2857142857142857;0.175;1.8571428571428572;6
strindberg-froken-julie;4;1;1;1;1;3
strindberg-lycko-pers-resa;43;4;0.12846068660022147;0.737065693084845;1.912332838038633;34
strindberg-den-starkare;3;1;1;1;1;2
strindberg-till-damaskus;47;2;0.25254394079555964;0.9010665705120731;1.7474560592044404;46
strindberg-bandet;24;3;0.5;0.8530004717504717;1.6159420289855073;21
strindberg-fordringsegare;3;1;1;1;1;2
strindberg-moderskarlek;4;2;0.8333333333333334;0.8333333333333333;1.1666666666666667;3
strindberg-herr-bengts-hustru;16;3;0.3416666666666667;0.6783730158730159;1.7416666666666667;13
strindberg-infor-doden;6;2;0.8;0.9;1.2;5
strindberg-marodorer;11;3;0.5272727272727272;0.6743867243867244;1.509090909090909;9
strindberg-forsta-varningen;5;2;0.8;0.8666666666666666;1.2;4
topelius-t-jeppe-och-murra;2;1;1;0;1;1
topelius-t-isma-maffarnas-land;4;1;1;1;1;3
topelius-z-perdita;9;1;1;1;1;8
topelius-z-askungen;13;2;0.9358974358974359;0.9592074592074591;1.064102564102564;12
topelius-z-lucias-ziffror;14;1;1;1;1;13
topelius-z-jennys-formaningar;3;1;1;1;1;2
topelius-z-skogskonungen;10;1;1;1;1;9
topelius-z-station-sylvester;34;1;1;1;1;33
topelius-z-snurran;25;2;0.88;0.933423234906611;1.12;24
topelius-z-krypskyttarne;3;1;1;1;1;2
topelius-z-tidernas-spegel;5;1;1;1;1;4
